station_name,pump_name,timestamp,status,suction_pressure,case_pressure,discharge_pressure,pressure_throttle,specific_gravity,speed,efficiency,flow,head,pressure_difference,por,aor,lor,head_degradation,baseline_head,energy_wasted,money_wasted,flow_ratio_bep,reliability,rate_of_life_time,consumed_lifetime,estimated_remaining_life,shaft_power
Station1,Pump1,2019-04-01T01:55:00.000Z,Open,543533.7536,4748688.254,,,0.9152474,,84.068886,0.508900255,472.2212032,4205154.5,0,1,0,7.533484478,479.7546877,0.09093245,,0.7510536,0.73363525,1.3630751,0.1135896,99.73151,2567769.8
Station1,Pump1,2019-04-01T02:00:00.000Z,Open,543533.7536,3673023.004,,,0.9149848,,83.37506,0.514625758,352.5176815,3129489.2,0,1,0,126.6583777,479.1760591,0.0818268,,0.75943035,0.7520022,1.3297834,0.11081529,99.72597,1948335.6
Station1,Pump1,2019-04-01T02:05:00.000Z,Open,543533.7536,4743508.754,,,0.9152255,,82.6675,0.51105693,471.6555294,4199975,0,1,0,7.88243391,479.5379633,0.12758367,,0.7542089,0.7405847,1.3502845,0.11252371,99.72034,2619039.8
Station1,Pump1,2019-04-01T02:10:00.000Z,Open,543533.7536,4765230.754,,,0.91564155,,83.2989,0.508348137,473.8612483,4221697,0,1,0,5.948703785,479.8099521,0.11102819,,0.7502458,0.7318505,1.3663993,0.113866605,99.714645,2598902
Station1,Pump1,2019-04-01T02:15:00.000Z,Open,550428.5036,4799278.504,,,0.91559774,,82.783325,0.50516054,476.9067501,4248850,0,1,0,3.220291633,480.1270417,0.12453833,,0.74558216,0.7215042,1.3859932,0.115499444,99.70887,2615547.2
Station1,Pump1,2019-04-01T02:20:00.000Z,Open,543533.7536,4765885.754,,,0.91537875,,83.90762,0.511680394,474.0691036,4222352,0,1,0,5.405905742,479.4750093,0.09595063,,0.7551211,0.74258685,1.3466438,0.11222032,99.70326,2597216.5
Station1,Pump1,2019-04-01T02:25:00.000Z,Open,543533.7536,4736957.004,,,0.91537875,,83.311226,0.515146345,470.8475765,4193423.2,0,1,0,8.275345821,479.1229223,0.11142411,,0.760192,0.75365853,1.3268608,0.110571735,99.69773,2615332.8
Station1,Pump1,2019-04-01T02:30:00.000Z,Open,543533.7536,4754141.254,,,0.9156196,,83.4269,0.509135753,472.6378902,4210607.5,0,1,0,7.093203564,479.7310938,0.1075873,,0.75139815,0.7343958,1.3616636,0.11347196,99.692055,2592073.2
Station1,Pump1,2019-04-01T02:35:00.000Z,Open,543533.7536,4780660.254,,,0.9153568,,83.990685,0.509357959,475.7257198,4237126.5,0,1,0,3.983107586,479.7088274,0.09371481,,0.75172323,0.7351131,1.360335,0.11336125,99.686386,2592010.8
Station1,Pump1,2019-04-01T02:40:00.000Z,Open,543533.7536,4762002.754,,,0.9156196,,84.09721,0.513490826,473.5131343,4218469,0,1,0,5.778450985,479.2915853,0.091306604,,0.7577699,0.74838287,1.3362144,0.1113512,99.680824,2598059.5
Station1,Pump1,2019-04-01T02:45:00.000Z,Open,543533.7536,4772628.254,,,0.91548824,,81.74109,0.512914568,474.7636226,4229094.5,0,1,0,4.586444874,479.3500675,0.15392819,,0.7569268,0.74654096,1.3395112,0.11162593,99.67524,2676697.8
Station1,Pump1,2019-04-01T02:50:00.000Z,Open,543533.7536,4761440.254,,,0.9152474,,82.69246,0.509723097,473.6414913,4217906.5,0,1,0,6.030694027,479.6721853,0.12713706,,0.75225747,0.7362909,1.3581588,0.11317991,99.66958,2622624.2
Station1,Pump1,2019-04-01T02:55:00.000Z,Open,550428.5036,4774705.004,,,0.91548824,,83.905106,0.50549975,474.2271541,4224276.5,0,1,0,5.866309185,480.0934633,0.09490887,,0.74607843,0.7226085,1.3838751,0.11532293,99.66382,2567361
Station1,Pump1,2019-04-01T03:00:00.000Z,Open,543533.7536,4791785.754,,,0.91537875,,82.435394,0.506372362,476.9533504,4248252,0,1,0,3.053523559,480.006874,0.13403699,,0.74735516,0.7254458,1.3784627,0.1148719,99.65807,2632462
Station1,Pump1,2019-04-01T03:05:00.000Z,Open,543533.7536,4773804.254,,,0.9149848,,82.98349,0.507976085,475.1537288,4230270.5,0,1,0,4.69338705,479.8471159,0.11941544,,0.7497015,0.7306466,1.3686508,0.11405423,99.65237,2612181.5
Station1,Pump1,2019-04-01T03:10:00.000Z,Open,543533.7536,4779711.254,,,0.9153568,,82.52651,0.508646279,475.6200374,4236177.5,0,1,0,4.160093326,479.7801307,0.13182503,,0.750682,0.73281455,1.3646017,0.11371681,99.64668,2633754
Station1,Pump1,2019-04-01T03:15:00.000Z,Open,543533.7536,4748531.754,,,0.916036,,84.90744,0.508436114,471.8005794,4204998,0,1,0,8.000565548,479.8011449,0.06973382,,0.7503745,0.73213506,1.3658682,0.113822356,99.64099,2540017
Station1,Pump1,2019-04-01T03:20:00.000Z,Open,543533.7536,4772550.754,,,0.9161676,,84.13864,0.506214648,474.4058345,4229017,0,1,0,5.616710682,480.0225452,0.08919533,,0.7471244,0.7249334,1.3794371,0.11495309,99.63525,2566701.5
Station1,Pump1,2019-04-01T03:25:00.000Z,Open,543533.7536,4792282.254,,,0.9161457,,83.5312,0.504050523,476.6125606,4248748.5,0,1,0,3.624145527,480.2367061,0.10479252,,0.7439582,0.7178853,1.3929802,0.116081685,99.62944,2586421.8
Station1,Pump1,2019-04-01T03:30:00.000Z,Open,543533.7536,4798073.754,,,0.91577303,,83.16599,0.505674869,477.4495967,4254540,0,1,0,2.626500625,480.0760974,0.1147784,,0.7463347,0.7231783,1.3827848,0.115232065,99.62368,2609630
Station1,Pump1,2019-04-01T03:35:00.000Z,Open,543533.7536,4756880.754,,,0.91537875,,83.2364,0.512087971,473.0663265,4213347,0,1,0,6.367497463,479.4338239,0.113251634,,0.7557174,0.74389404,1.3442774,0.112023115,99.61808,2614640
Station1,Pump1,2019-04-01T03:40:00.000Z,Open,543533.7536,4789132.754,,,0.9156196,,84.58326,0.513706297,476.5335506,4245599,0,1,0,2.736140747,479.2696913,0.07940562,,0.75808513,0.7490709,1.3349872,0.11124893,99.61251,2600824.2
Station1,Pump1,2019-04-01T03:45:00.000Z,Open,543533.7536,4775488.254,,,0.9156196,,84.44637,0.513270527,475.0144771,4231954.5,0,1,0,4.299475212,479.3139523,0.08258302,,0.75744754,0.74767905,1.3374722,0.11145602,99.60694,2594484.5
Station1,Pump1,2019-04-01T03:50:00.000Z,Open,543533.7536,4792615.254,,,0.91577303,,82.87743,0.511267096,476.8419918,4249081.5,0,1,0,2.674760837,479.5167526,0.12353266,,0.7545164,0.74125993,1.3490545,0.1124212,99.60132,2644027.5
Station1,Pump1,2019-04-01T03:55:00.000Z,Open,543533.7536,4788606.254,,,0.9159045,,84.827156,0.512003094,476.3278926,4245072.5,0,1,0,3.114494343,479.442387,0.07292456,,0.75559324,0.74362195,1.3447694,0.11206411,99.59572,2584501.5
Station1,Pump1,2019-04-01T04:00:00.000Z,Open,543533.7536,4763336.254,,,0.9158826,,83.957726,0.511467844,473.5266841,4219802.5,0,1,0,5.969795246,479.4964794,0.09456285,,0.7548101,0.7419046,1.3478822,0.11232351,99.5901,2593030.8
Station1,Pump1,2019-04-01T04:05:00.000Z,Open,543533.7536,4747761.254,,,0.91548824,,85.03403,0.508445114,471.9947628,4204227.5,0,1,0,7.805478115,479.8002409,0.06657183,,0.75038767,0.73216414,1.365814,0.113817826,99.58441,2535815.8
Station1,Pump1,2019-04-01T04:10:00.000Z,Open,543533.7536,4735870.504,,,0.91544443,,82.700226,0.508028716,470.6930965,4192336.8,0,1,0,9.148782749,479.8418792,0.12574667,,0.74977845,0.73081696,1.3683317,0.11402764,99.57871,2597891
Station1,Pump1,2019-04-01T04:15:00.000Z,Open,543533.7536,4767895.754,,,0.916036,,84.95718,0.508360714,473.9554256,4224362,0,1,0,5.853273411,479.808699,0.06880007,,0.7502642,0.7318912,1.3663234,0.11386028,99.57301,2549845.2
Station1,Pump1,2019-04-01T04:20:00.000Z,Open,543533.7536,4739204.754,,,0.916036,,83.97011,0.508634776,470.7626766,4195671,0,1,0,9.018603344,479.7812799,0.09319076,,0.7506652,0.73277736,1.364671,0.113722585,99.56733,2563666.5
Station1,Pump1,2019-04-01T04:25:00.000Z,Open,543533.7536,4745180.254,,,0.9160141,,82.879234,0.509602755,471.438824,4201646.5,0,1,0,8.24543478,479.6842588,0.121712275,,0.7520814,0.7359028,1.358875,0.113239594,99.56167,2606016.5
Station1,Pump1,2019-04-01T04:30:00.000Z,Open,543533.7536,4736420.004,,,0.9152255,,84.185814,0.508666187,470.8659481,4192886.2,0,1,0,8.912177105,479.7781252,0.08766393,,0.75071114,0.73287886,1.3644819,0.11370683,99.555984,2555556.8
Station1,Pump1,2019-04-01T04:35:00.000Z,Open,543533.7536,4799104.754,,,0.9150942,,82.938484,0.506620318,477.9157527,4255571,0,1,0,2.066470642,479.9822234,0.12099682,,0.7477179,0.72625107,1.3769343,0.11474452,99.55025,2622273.8
Station1,Pump1,2019-04-01T04:40:00.000Z,Open,543533.7536,4753031.754,,,0.9152255,,84.31191,0.508450717,472.7161678,4209498,0,1,0,7.08350851,479.7996763,0.084777735,,0.7503959,0.73218226,1.3657801,0.11381501,99.544556,2560768.5
Station1,Pump1,2019-04-01T04:45:00.000Z,Open,543533.7536,4765409.254,,,0.9148536,,83.02415,0.502750546,474.285931,4221875.5,0,1,0,6.078690548,480.3646215,0.11690999,,0.7420562,0.7136372,1.4012723,0.11677269,99.53872,2579148.5
Station1,Pump1,2019-04-01T04:50:00.000Z,Open,543533.7536,4743268.254,,,0.91577303,,82.39755,0.505513221,471.3490718,4199734.5,0,1,0,8.743047733,480.0921196,0.13327755,,0.74609816,0.7226524,1.3837912,0.11531594,99.53295,2599213.8
Station1,Pump1,2019-04-01T04:55:00.000Z,Open,543533.7536,4760249.754,,,0.916036,,82.39912,0.506000131,473.104565,4216716,0,1,0,6.939263363,480.0438284,0.13390286,,0.74681056,0.72423613,1.3807651,0.115063764,99.5272,2612165.8
Station1,Pump1,2019-04-01T05:00:00.000Z,Open,543533.7536,4775213.254,,,0.91625535,,82.99594,0.503379315,474.6569942,4231679.5,0,1,0,5.645842571,480.3028368,0.118059844,,0.7429761,0.7156932,1.3972467,0.11643723,99.52138,2589222.2
Station1,Pump1,2019-04-01T05:05:00.000Z,Open,543533.7536,4792334.754,,,0.9162772,,83.44274,0.499246687,476.5505184,4248801,0,1,0,4.15626194,480.7067803,0.10606699,,0.73692983,0.70213807,1.4242213,0.118685104,99.51544,2564735
Station1,Pump1,2019-04-01T05:10:00.000Z,Open,543533.7536,4777535.254,,,0.9158826,,84.38134,0.503200978,475.1070369,4234001.5,0,1,0,5.21333744,480.3203744,0.08265067,,0.74271524,0.7151103,1.3983856,0.11653214,99.50961,2547214
Station1,Pump1,2019-04-01T05:15:00.000Z,Open,550428.5036,4797226.004,,,0.9160141,,83.72641,0.502950698,476.4633296,4246797.5,0,1,0,3.881636162,480.3449658,0.09950553,,0.742349,0.71429193,1.3999878,0.116665654,99.503784,2573627.8
Station1,Pump1,2019-04-01T05:20:00.000Z,Open,543533.7536,4764060.254,,,0.9159045,,82.92606,0.503243416,473.5960201,4220526.5,0,1,0,6.720167179,480.3161873,0.119530134,,0.7427773,0.71524906,1.3981144,0.116509534,99.497955,2583882.2
Station1,Pump1,2019-04-01T05:25:00.000Z,Open,550428.5036,4818390.504,,,0.9158826,,82.58622,0.503153413,478.886761,4267962,0,1,0,1.438273926,480.325035,0.12981072,,0.7426456,0.7149548,1.3986897,0.11655749,99.49213,2623210.5
Station1,Pump1,2019-04-01T05:30:00.000Z,Open,543533.7536,4740440.254,,,0.91537875,,82.57824,0.502314359,471.2354854,4196906.5,0,1,0,9.171941776,480.4074272,0.1276458,,0.74141806,0.7122095,1.4040812,0.117006764,99.486275,2575522.2
Station1,Pump1,2019-04-01T05:35:00.000Z,Open,550428.5036,4768967.504,,,0.9157511,,82.21343,0.50081864,473.4534725,4218539,0,1,0,7.100310345,480.5537828,0.13746955,,0.73922974,0.7073055,1.4138163,0.11781802,99.480385,2592610
Station1,Pump1,2019-04-01T05:40:00.000Z,Open,550428.5036,4796313.004,,,0.9158387,,83.92526,0.499997169,476.4521907,4245884.5,0,1,0,4.181626816,480.6338175,0.093854226,,0.7380279,0.7046068,1.4192313,0.11826928,99.47447,2552035.5
Station1,Pump1,2019-04-01T05:45:00.000Z,Open,550428.5036,4784200.004,,,0.91548824,,81.38604,0.496512502,475.2843746,4233771.5,0,1,0,5.686698932,480.9710735,0.15864599,,0.7329296,0.69312,1.4427516,0.120229304,99.46846,2606023.2
Station1,Pump1,2019-04-01T05:50:00.000Z,Open,550428.5036,4767574.504,,,0.91548824,,83.38593,0.499776691,473.4331783,4217146,0,1,0,7.222103138,480.6552814,0.10683426,,0.7377053,0.7038818,1.420693,0.11839109,99.46254,2550041.5
Station1,Pump1,2019-04-01T05:55:00.000Z,Open,550428.5036,4785983.004,,,0.916036,,82.95208,0.500550717,475.200909,4235554.5,0,1,0,5.379009266,480.5799183,0.11864532,,0.7388377,0.7064257,1.415577,0.11796475,99.45664,2578520.2
Station1,Pump1,2019-04-01T06:00:00.000Z,Open,543533.7536,4762810.754,,,0.9157511,,83.19682,0.504025906,473.5356258,4219277,0,1,0,6.703493137,480.2391189,0.1126626,,0.7439221,0.71780497,1.3931361,0.11609468,99.450836,2578679
Station1,Pump1,2019-04-01T06:05:00.000Z,Open,543533.7536,4769359.254,,,0.9162772,,82.36637,0.503206819,473.9944881,4225825.5,0,1,0,6.325315494,480.3198036,0.13432036,,0.74272376,0.7151294,1.3983483,0.116529025,99.445015,2604518.8
Station1,Pump1,2019-04-01T06:10:00.000Z,Open,550428.5036,4758592.504,,,0.9159045,,83.78579,0.500631899,472.2201045,4208164,0,1,0,8.351888676,480.5719932,0.09665057,,0.7389565,0.70669234,1.415043,0.11792025,99.43912,2536761.8
Station1,Pump1,2019-04-01T06:15:00.000Z,Open,543533.7536,4782061.254,,,0.91548824,,82.71896,0.499594182,475.8139766,4238527.5,0,1,0,4.859056969,480.6730336,0.124552086,,0.73743826,0.7032815,1.4219056,0.11849214,99.43319,2582700.8
